,Student index,Log File,Grade,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
109,211.0,ENlogs_LTAT.03.001_20210207-0944_Inf_07EN.csv,A,142,237,237,407,351,237,376
110,214.0,ENlogs_LTAT.03.001_20210207-0940_Inf_01EN.csv,A,265,589,203,503,285,0,136
111,217.0,ENlogs_LTAT.03.001_20210207-0945_Inf_08EN.csv,A,238,162,245,205,209,23,219
112,218.0,ENlogs_LTAT.03.001_20210207-0938_FKM_02EN.csv,D,166,38,651,158,160,55,111
113,219.0,ENlogs_LTAT.03.001_20210207-0942_Inf_03EN.csv,A,536,355,305,233,469,54,407
114,223.0,ENlogs_LTAT.03.001_20210207-0943_Inf_06EN.csv,C,136,369,562,343,499,2,17
115,227.0,ENlogs_LTAT.03.001_20210207-0937_AT_03EN.csv,E,316,132,724,670,223,17,264
116,228.0,ENlogs_LTAT.03.001_20210207-0938_FKM_02EN.csv,A,387,272,351,328,232,133,301
117,239.0,ENlogs_LTAT.03.001_20210207-0940_Inf_01EN.csv,B,179,233,456,464,281,0,109
118,241.0,ENlogs_LTAT.03.001_20210207-0937_AT_02_veebirühmEN.csv,A,442,100,166,139,262,64,97
119,242.0,ENlogs_LTAT.03.001_20210207-0938_FKM_01EN.csv,A,246,76,372,431,328,9,94
120,243.0,ENlogs_LTAT.03.001_20210207-0945_Inf_08EN.csv,A,235,342,171,144,158,58,244
121,246.0,ENlogs_LTAT.03.001_20210207-0944_Inf_07EN.csv,A,161,314,208,413,239,29,70
122,248.0,ENlogs_LTAT.03.001_20210207-0942_Inf_02EN.csv,A,219,226,210,302,151,114,343
123,249.0,ENlogs_LTAT.03.001_20210207-0935-AT_01EN.csv,B,174,156,357,272,191,6,205
124,251.0,ENlogs_LTAT.03.001_20210207-0942_Inf_02EN.csv,A,195,114,290,456,310,43,119
125,252.0,ENlogs_LTAT.03.001_20210207-0943_Inf_05EN.csv,A,235,210,267,160,95,9,489
126,260.0,ENlogs_LTAT.03.001_20210207-0937_AT_03EN.csv,A,206,64,458,277,194,68,337
127,263.0,ENlogs_LTAT.03.001_20210207-0942_Inf_02EN.csv,A,181,318,278,271,209,6,168
128,264.0,ENlogs_LTAT.03.001_20210207-0944_Inf_07EN.csv,A,295,506,158,285,168,27,110
129,266.0,ENlogs_LTAT.03.001_20210207-0940_Inf_01EN.csv,A,280,64,102,709,552,370,126
130,268.0,ENlogs_LTAT.03.001_20210207-0943_Inf_06EN.csv,A,165,477,393,266,233,5,123
131,270.0,ENlogs_LTAT.03.001_20210207-0942_Inf_04_veebirühmEN.csv,A,494,265,533,123,420,624,237
132,271.0,ENlogs_LTAT.03.001_20210207-0938_FKM_02EN.csv,B,215,391,210,180,158,2,60
133,277.0,ENlogs_LTAT.03.001_20210207-0943_Inf_05EN.csv,C,265,205,352,243,122,18,49
134,281.0,ENlogs_LTAT.03.001_20210207-0944_Inf_07EN.csv,A,984,349,713,432,325,204,532
135,282.0,ENlogs_LTAT.03.001_20210207-0937_AT_02_veebirühmEN.csv,A,352,222,316,178,201,1,115
136,283.0,ENlogs_LTAT.03.001_20210207-0945_Inf_08EN.csv,A,326,208,570,220,208,6,104
137,285.0,ENlogs_LTAT.03.001_20210207-0935-AT_01EN.csv,C,215,341,528,226,361,1,140
138,287.0,ENlogs_LTAT.03.001_20210207-0942_Inf_02EN.csv,B,156,199,284,268,285,0,301
139,291.0,ENlogs_LTAT.03.001_20210207-0940_FKM_03EN.csv,B,149,95,348,256,169,5,16
140,294.0,ENlogs_LTAT.03.001_20210207-0935-AT_01EN.csv,A,620,461,218,935,287,398,585
141,295.0,ENlogs_LTAT.03.001_20210207-0943_Inf_05EN.csv,C,82,184,507,184,146,8,35
142,296.0,ENlogs_LTAT.03.001_20210207-0940_Inf_01EN.csv,A,276,340,393,332,337,262,464
143,298.0,ENlogs_LTAT.03.001_20210207-0940_FKM_03EN.csv,B,286,136,925,396,324,16,7
144,301.0,ENlogs_LTAT.03.001_20210207-0937_AT_02_veebirühmEN.csv,A,234,127,431,217,168,151,164
145,316.0,ENlogs_LTAT.03.001_20210207-0942_Inf_04_veebirühmEN.csv,B,67,132,501,272,184,5,102
146,317.0,ENlogs_LTAT.03.001_20210207-0938_FKM_02EN.csv,D,385,200,272,512,339,69,70
147,323.0,ENlogs_LTAT.03.001_20210207-0937_AT_03EN.csv,A,644,236,128,619,213,71,211
148,325.0,ENlogs_LTAT.03.001_20210207-0944_Inf_07EN.csv,A,286,159,183,388,248,163,65
149,331.0,ENlogs_LTAT.03.001_20210207-0935-AT_01EN.csv,B,282,144,364,609,681,37,175
150,332.0,ENlogs_LTAT.03.001_20210207-0942_Inf_03EN.csv,B,205,476,746,281,89,94,45
151,335.0,ENlogs_LTAT.03.001_20210207-0938_FKM_01EN.csv,C,121,71,482,560,229,12,118
152,338.0,ENlogs_LTAT.03.001_20210207-0938_FKM_01EN.csv,A,122,242,427,269,136,3,29
153,340.0,ENlogs_LTAT.03.001_20210207-0940_Inf_01EN.csv,B,152,106,891,313,479,23,48
